Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,1935.000000,1960.784302,1896.000000,1896.000000,1896.000000,0
2014-06-01,1896.000000,1923.076904,1872.000000,1877.000000,1877.000000,0
2014-07-01,1877.000000,1886.792480,185.000000,1875.000000,1875.000000,0
2014-08-01,1875.000000,1960.784302,0.500000,1960.784302,1960.784302,0
2014-09-01,1883.900024,2028.000000,174.000000,1981.099976,1981.099976,0
2014-10-01,1980.900024,2127.659668,20.690001,2019.500000,2019.500000,0
2014-11-01,2019.500000,2222.222168,22.000000,2222.222168,2222.222168,0
2014-12-01,2129.300049,2451.300049,24.250000,2375.000000,2375.000000,0
2015-01-01,2345.199951,2455.000000,24.340000,2439.024414,2439.024414,0
2015-02-01,2439.024414,2564.102539,12.000000,2564.102539,2564.102539,0
2015-03-01,2564.102539,2702.702637,25.000000,2529.899902,2529.899902,0
2015-04-01,2553.000000,2579.000000,25.000000,2393.000000,2393.000000,0
2015-05-01,2328.800049,2564.102539,2308.899902,2534.000000,2534.000000,0
2015-06-01,2491.199951,2627.000000,25.430000,2603.000000,2603.000000,0
2015-07-01,2558.800049,2879.000000,2558.800049,2879.000000,2879.000000,0
2015-08-01,2833.300049,3229.500000,281.000000,3030.899902,3030.899902,0
2015-09-01,3026.600098,3158.199951,2895.699951,3087.000000,3087.000000,0
2015-10-01,3076.000000,3076.000000,29.290001,2941.176514,2941.176514,0
2015-11-01,2870.399902,3144.000000,2750.399902,3144.000000,3144.000000,0
2015-12-01,3062.600098,3347.000000,33.139999,3138.000000,3138.000000,0
2016-01-01,3138.000000,3398.000000,3128.699951,3333.333252,3333.333252,0
2016-02-01,3258.500000,3448.275879,33.400002,3297.600098,3297.600098,0
2016-03-01,3299.199951,3299.199951,2969.399902,2999.000000,2999.000000,0
2016-04-01,2957.000000,3125.000000,2.000000,2818.899902,2818.899902,0
2016-05-01,2941.176514,3125.000000,2790.199951,3088.000000,3088.000000,0
2016-06-01,3022.000000,3120.000000,2618.000000,2881.600098,2881.600098,0
2016-07-01,2881.000000,3125.000000,2871.000000,3125.000000,3125.000000,0
2016-08-01,3033.100098,3128.000000,2834.899902,2893.800049,2893.800049,0
2016-09-01,2893.600098,3005.989990,2797.600098,2828.699951,2828.699951,0
2016-10-01,2880.189941,3004.000000,2830.699951,2938.199951,2938.199951,0
2016-11-01,2939.199951,3181.000000,2939.199951,3072.750000,3072.750000,0
2016-12-01,3072.750000,3125.000000,2914.300049,3000.250000,3000.250000,0
2017-01-01,3000.250000,3004.149902,2864.100098,2915.000000,2915.000000,0
2017-02-01,2905.750000,2927.110107,2798.100098,2918.100098,2918.100098,0
2017-03-01,2918.100098,3019.530029,2846.899902,2846.899902,2846.899902,0
